StudentID,FirstName,LastName,Gender,DateOfBirth,ClassID
1001,Student1,Doe,Female,2004-09-03,CLASS014
1002,Student2,Doe,Female,2001-05-13,CLASS009
1003,Student3,Doe,Male,2001-08-11,CLASS001
1004,Student4,Doe,Female,1999-06-08,CLASS006
1005,Student5,Doe,Female,2000-05-30,CLASS013
1006,Student6,Doe,Female,1998-10-04,CLASS012
1007,Student7,Doe,Male,1999-08-20,CLASS003
1008,Student8,Doe,Female,1997-06-18,CLASS012
1009,Student9,Doe,Female,2004-05-18,CLASS013
1010,Student10,Doe,Male,2000-10-30,CLASS013
1011,Student11,Doe,Female,2000-01-21,CLASS003
1012,Student12,Doe,Female,2003-03-17,CLASS007
1013,Student13,Doe,Male,1996-07-24,CLASS002
1014,Student14,Doe,Female,1998-06-17,CLASS009
1015,Student15,Doe,Male,2000-05-28,CLASS009
1016,Student16,Doe,Female,2003-06-13,CLASS001
1017,Student17,Doe,Female,1994-12-09,CLASS002
1018,Student18,Doe,Female,1998-03-12,CLASS014
1019,Student19,Doe,Male,2000-07-15,CLASS002
1020,Student20,Doe,Female,1998-01-09,CLASS008
1021,Student21,Doe,Male,2003-01-17,CLASS002
1022,Student22,Doe,Female,2005-05-11,CLASS014
1023,Student23,Doe,Female,2005-09-16,CLASS002
1024,Student24,Doe,Male,2003-07-31,CLASS004
1025,Student25,Doe,Female,1990-01-26,CLASS002
1026,Student26,Doe,Male,1992-01-12,CLASS004
1027,Student27,Doe,Female,2003-03-17,CLASS009
1028,Student28,Doe,Male,2003-04-13,CLASS001
1029,Student29,Doe,Female,1994-07-30,CLASS015
1030,Student30,Doe,Male,2005-12-21,CLASS015
1031,Student31,Doe,Female,2003-06-29,CLASS015
1032,Student32,Doe,Male,1996-11-15,CLASS001
1033,Student33,Doe,Male,2000-12-11,CLASS013
1034,Student34,Doe,Male,1995-06-04,CLASS013
1035,Student35,Doe,Male,2002-11-08,CLASS004
1036,Student36,Doe,Male,2000-12-03,CLASS014
1037,Student37,Doe,Female,1990-01-24,CLASS005
1038,Student38,Doe,Female,2003-06-27,CLASS015
1039,Student39,Doe,Female,2004-06-06,CLASS012
1040,Student40,Doe,Female,2001-03-15,CLASS006
1041,Student41,Doe,Female,1996-09-02,CLASS001
1042,Student42,Doe,Male,1998-10-20,CLASS011
1043,Student43,Doe,Male,1999-02-12,CLASS011
1044,Student44,Doe,Male,2003-04-10,CLASS008
1045,Student45,Doe,Male,2001-07-13,CLASS015
1046,Student46,Doe,Male,1998-05-03,CLASS015
1047,Student47,Doe,Female,2000-08-05,CLASS010
1048,Student48,Doe,Female,1994-07-16,CLASS009
1049,Student49,Doe,Female,2000-08-04,CLASS012
1050,Student50,Doe,Female,1998-05-09,CLASS011
1051,Student51,Doe,Male,1996-10-24,CLASS002
1052,Student52,Doe,Female,2003-06-09,CLASS009
1053,Student53,Doe,Male,1994-04-02,CLASS003
1054,Student54,Doe,Female,2005-09-08,CLASS012
1055,Student55,Doe,Female,1999-06-24,CLASS005
1056,Student56,Doe,Male,1996-05-30,CLASS006
1057,Student57,Doe,Male,1992-09-26,CLASS004
1058,Student58,Doe,Male,2000-12-22,CLASS005
1059,Student59,Doe,Female,1998-04-12,CLASS005
1060,Student60,Doe,Female,2005-09-22,CLASS004
1061,Student61,Doe,Male,1990-01-15,CLASS002
1062,Student62,Doe,Male,1999-11-30,CLASS015
1063,Student63,Doe,Male,1994-01-01,CLASS005
1064,Student64,Doe,Male,1999-02-27,CLASS001
1065,Student65,Doe,Male,1999-08-28,CLASS008
1066,Student66,Doe,Female,1991-10-10,CLASS014
1067,Student67,Doe,Male,2004-09-06,CLASS007
1068,Student68,Doe,Female,1992-10-17,CLASS002
1069,Student69,Doe,Male,2005-06-24,CLASS004
1070,Student70,Doe,Female,1991-12-11,CLASS013
1071,Student71,Doe,Female,1998-03-04,CLASS010
1072,Student72,Doe,Male,1999-05-27,CLASS001
1073,Student73,Doe,Male,1990-10-12,CLASS014
1074,Student74,Doe,Female,2003-03-29,CLASS001
1075,Student75,Doe,Female,1994-11-16,CLASS005
1076,Student76,Doe,Female,2002-03-19,CLASS003
1077,Student77,Doe,Male,2000-04-22,CLASS003
1078,Student78,Doe,Female,2003-05-07,CLASS002
1079,Student79,Doe,Male,1996-06-07,CLASS003
1080,Student80,Doe,Male,1994-07-28,CLASS010
1081,Student81,Doe,Male,2004-02-22,CLASS001
1082,Student82,Doe,Male,1994-03-19,CLASS015
1083,Student83,Doe,Male,1995-07-26,CLASS013
1084,Student84,Doe,Female,2003-11-27,CLASS012
1085,Student85,Doe,Female,1997-07-30,CLASS002
1086,Student86,Doe,Male,1993-11-21,CLASS010
1087,Student87,Doe,Male,1990-12-23,CLASS001
1088,Student88,Doe,Female,1995-10-19,CLASS015
1089,Student89,Doe,Male,1991-01-03,CLASS011
1090,Student90,Doe,Male,1998-01-20,CLASS010
1091,Student91,Doe,Male,2005-06-10,CLASS014
1092,Student92,Doe,Male,1990-04-22,CLASS001
1093,Student93,Doe,Female,2002-05-13,CLASS012
1094,Student94,Doe,Male,1997-03-08,CLASS015
1095,Student95,Doe,Female,1998-05-15,CLASS009
1096,Student96,Doe,Female,2005-06-20,CLASS008
1097,Student97,Doe,Female,2003-02-27,CLASS011
1098,Student98,Doe,Male,2003-03-28,CLASS015
1099,Student99,Doe,Female,2002-12-16,CLASS008
1100,Student100,Doe,Male,2005-09-12,CLASS012
1101,Student101,Doe,Male,1999-06-25,CLASS002
1102,Student102,Doe,Male,2001-12-31,CLASS003
1103,Student103,Doe,Male,1999-07-13,CLASS015
1104,Student104,Doe,Female,1993-11-03,CLASS002
1105,Student105,Doe,Female,1993-06-20,CLASS012
1106,Student106,Doe,Female,1997-05-19,CLASS007
1107,Student107,Doe,Female,1997-05-05,CLASS001
1108,Student108,Doe,Male,1995-12-23,CLASS012
1109,Student109,Doe,Female,2000-11-15,CLASS003
1110,Student110,Doe,Female,1994-06-24,CLASS004
1111,Student111,Doe,Male,1997-03-13,CLASS008
1112,Student112,Doe,Male,1991-09-01,CLASS013
1113,Student113,Doe,Female,1992-09-29,CLASS014
1114,Student114,Doe,Male,1996-07-07,CLASS005
1115,Student115,Doe,Female,1992-12-19,CLASS013
1116,Student116,Doe,Female,1990-11-23,CLASS014
1117,Student117,Doe,Female,2001-12-02,CLASS013
1118,Student118,Doe,Female,1994-12-01,CLASS011
1119,Student119,Doe,Male,2001-06-03,CLASS004
1120,Student120,Doe,Female,1998-10-24,CLASS005
1121,Student121,Doe,Male,1990-02-27,CLASS002
1122,Student122,Doe,Female,2005-12-20,CLASS015
1123,Student123,Doe,Male,1995-01-18,CLASS008
1124,Student124,Doe,Female,1994-11-03,CLASS007
1125,Student125,Doe,Male,2003-07-05,CLASS002
1126,Student126,Doe,Male,1992-09-30,CLASS002
1127,Student127,Doe,Female,1992-06-14,CLASS001
1128,Student128,Doe,Male,1992-03-24,CLASS005
1129,Student129,Doe,Female,1997-03-11,CLASS015
1130,Student130,Doe,Female,1998-01-20,CLASS003
1131,Student131,Doe,Female,1995-06-04,CLASS002
1132,Student132,Doe,Female,2004-06-27,CLASS002
1133,Student133,Doe,Male,2005-06-20,CLASS011
1134,Student134,Doe,Female,2001-08-17,CLASS014
1135,Student135,Doe,Male,2003-11-15,CLASS010
1136,Student136,Doe,Male,1997-03-19,CLASS006
1137,Student137,Doe,Female,2002-11-21,CLASS005
1138,Student138,Doe,Female,1997-07-24,CLASS012
1139,Student139,Doe,Male,1999-10-05,CLASS012
1140,Student140,Doe,Female,2003-07-23,CLASS013
1141,Student141,Doe,Male,2001-12-17,CLASS010
1142,Student142,Doe,Male,1996-04-02,CLASS001
1143,Student143,Doe,Male,1990-06-21,CLASS003
1144,Student144,Doe,Male,2000-12-03,CLASS011
1145,Student145,Doe,Female,2005-03-11,CLASS005
1146,Student146,Doe,Female,2005-05-31,CLASS015
1147,Student147,Doe,Male,1999-04-03,CLASS001
1148,Student148,Doe,Female,1993-10-26,CLASS002
1149,Student149,Doe,Male,1999-02-28,CLASS001
1150,Student150,Doe,Male,2003-09-05,CLASS014
1151,Student151,Doe,Male,1995-06-08,CLASS009
1152,Student152,Doe,Female,1994-05-11,CLASS013
1153,Student153,Doe,Female,1993-11-17,CLASS011
1154,Student154,Doe,Male,1991-05-07,CLASS001
1155,Student155,Doe,Female,1991-01-19,CLASS003
1156,Student156,Doe,Female,2001-12-19,CLASS015
1157,Student157,Doe,Male,1997-07-22,CLASS008
1158,Student158,Doe,Male,1994-12-04,CLASS007
1159,Student159,Doe,Female,2004-07-09,CLASS002
1160,Student160,Doe,Female,2000-08-04,CLASS003
1161,Student161,Doe,Male,2005-02-26,CLASS008
1162,Student162,Doe,Male,1993-12-12,CLASS014
1163,Student163,Doe,Male,1990-10-09,CLASS004
1164,Student164,Doe,Female,1995-06-07,CLASS004
1165,Student165,Doe,Female,1998-08-26,CLASS002
1166,Student166,Doe,Female,1996-04-05,CLASS013
1167,Student167,Doe,Male,2000-01-09,CLASS010
1168,Student168,Doe,Female,1991-10-14,CLASS004
1169,Student169,Doe,Male,1993-09-13,CLASS015
1170,Student170,Doe,Female,1996-11-02,CLASS003
1171,Student171,Doe,Male,1992-03-12,CLASS015
1172,Student172,Doe,Male,1999-08-05,CLASS011
1173,Student173,Doe,Female,1998-10-20,CLASS006
1174,Student174,Doe,Male,2003-07-26,CLASS001
1175,Student175,Doe,Female,1995-10-22,CLASS003
1176,Student176,Doe,Male,2000-07-14,CLASS010
1177,Student177,Doe,Male,2000-05-25,CLASS012
1178,Student178,Doe,Female,1993-09-09,CLASS013
1179,Student179,Doe,Female,1995-02-24,CLASS006
1180,Student180,Doe,Female,1992-07-09,CLASS002
1181,Student181,Doe,Female,1997-12-22,CLASS002
1182,Student182,Doe,Female,1996-06-11,CLASS015
1183,Student183,Doe,Male,2001-08-07,CLASS002
1184,Student184,Doe,Female,1995-01-03,CLASS001
1185,Student185,Doe,Female,2005-05-20,CLASS012
1186,Student186,Doe,Female,2003-01-12,CLASS013
1187,Student187,Doe,Male,2001-08-19,CLASS014
1188,Student188,Doe,Female,1997-12-03,CLASS009
1189,Student189,Doe,Female,2005-12-15,CLASS011
1190,Student190,Doe,Male,1995-01-18,CLASS003
1191,Student191,Doe,Female,1994-06-21,CLASS012
1192,Student192,Doe,Female,1994-07-20,CLASS012
1193,Student193,Doe,Female,1990-04-21,CLASS003
1194,Student194,Doe,Male,1997-10-20,CLASS003
1195,Student195,Doe,Female,2003-09-20,CLASS015
1196,Student196,Doe,Female,2001-10-02,CLASS014
1197,Student197,Doe,Male,1995-06-13,CLASS012
1198,Student198,Doe,Male,1990-07-03,CLASS009
1199,Student199,Doe,Male,2002-11-09,CLASS012
1200,Student200,Doe,Female,2002-08-19,CLASS001
1201,Student201,Doe,Female,1992-03-17,CLASS006
1202,Student202,Doe,Female,2003-05-06,CLASS015
1203,Student203,Doe,Male,2004-08-13,CLASS015
1204,Student204,Doe,Male,1993-10-09,CLASS003
1205,Student205,Doe,Female,1992-03-16,CLASS010
1206,Student206,Doe,Female,2005-04-17,CLASS010
1207,Student207,Doe,Male,2002-07-30,CLASS006
1208,Student208,Doe,Female,1992-10-08,CLASS012
1209,Student209,Doe,Female,2004-01-11,CLASS001
1210,Student210,Doe,Female,1995-09-16,CLASS014
1211,Student211,Doe,Female,1995-03-04,CLASS014
1212,Student212,Doe,Male,1997-11-16,CLASS006
1213,Student213,Doe,Male,2002-08-30,CLASS003
1214,Student214,Doe,Female,1992-06-29,CLASS001
1215,Student215,Doe,Female,1996-01-10,CLASS004
1216,Student216,Doe,Female,1992-02-02,CLASS002
1217,Student217,Doe,Female,1991-05-12,CLASS012
1218,Student218,Doe,Male,1991-03-02,CLASS010
1219,Student219,Doe,Female,2004-12-05,CLASS001
1220,Student220,Doe,Male,2002-05-29,CLASS008
1221,Student221,Doe,Female,1994-04-20,CLASS011
1222,Student222,Doe,Male,2000-12-25,CLASS014
1223,Student223,Doe,Female,1993-11-29,CLASS006
1224,Student224,Doe,Male,1999-06-28,CLASS008
1225,Student225,Doe,Female,1999-09-15,CLASS001
1226,Student226,Doe,Male,1996-07-22,CLASS014
1227,Student227,Doe,Male,1999-11-05,CLASS002
1228,Student228,Doe,Male,1995-08-27,CLASS014
1229,Student229,Doe,Female,1990-03-31,CLASS015
1230,Student230,Doe,Female,1991-07-25,CLASS011
1231,Student231,Doe,Female,1999-02-11,CLASS001
1232,Student232,Doe,Male,2005-02-18,CLASS002
1233,Student233,Doe,Male,1992-10-28,CLASS003
1234,Student234,Doe,Male,1997-10-31,CLASS005
1235,Student235,Doe,Female,1999-05-12,CLASS005
1236,Student236,Doe,Female,1999-05-15,CLASS011
1237,Student237,Doe,Male,2001-08-06,CLASS010
